تاریخ,شیفت,نوع لوله,قطر (mm),ضخامت (mm),متراژ تولید (m),وزن (kg),% مواد بازیافتی,گرید مواد,دمای Zone1 (°C),دمای Zone2 (°C),دمای Zone3 (°C),دمای هد (°C),فشار اکسترودر (bar),سرعت مارپیچ (rpm),سرعت کشنده (m/min),دمای سالن (°C),رطوبت سالن (%),ضایعات (kg),علت ضایعات,تست QC
2025-01-01,سوم,PE80,90,6,3659,1134,20,LG Chem,175,169,192,186,98,54,18,16,38,23,خاموش کردن,قبول
2025-01-02,دوم,PE100,20,6,1398,1623,0,Borealis,193,192,172,192,92,52,8,30,56,138,ضخامت نامناسب,رد
2025-01-03,اول,PE100,50,10,4913,1527,30,Sabic,199,172,181,206,105,46,11,16,33,47,توقف ناگهانی,قبول
2025-01-04,اول,PE80,20,4,3182,1298,20,LG Chem,161,197,167,185,100,35,15,21,64,279,تغییر رنگ,قبول
2025-01-05,دوم,PE80,110,3,4692,1884,0,Borealis,171,183,181,189,99,48,7,24,51,202,ضخامت نامناسب,رد
2025-01-06,سوم,PE100,90,10,2544,1791,0,Borealis,172,180,185,200,105,66,7,30,57,189,خاموش کردن,رد
2025-01-07,اول,PE80,63,10,3798,1672,30,Sabic,170,196,164,208,87,36,16,27,68,199,توقف ناگهانی,قبول
2025-01-08,دوم,PE80,110,2,3560,894,20,LG Chem,166,179,169,187,110,71,8,20,30,276,حباب,رد
2025-01-09,دوم,PE80,110,10,3833,716,20,LG Chem,185,173,161,207,104,61,11,32,46,205,حباب,قبول
2025-01-10,سوم,PE80,110,6,1440,586,30,LG Chem,190,188,190,204,115,53,12,32,63,229,ضخامت نامناسب,قبول
2025-01-11,دوم,PE80,32,3,4343,1626,0,LG Chem,175,192,197,187,83,34,12,27,69,33,تغییر رنگ,قبول
2025-01-12,دوم,PE100,110,2,1164,1338,20,Borealis,197,172,191,195,103,35,17,31,55,272,توقف ناگهانی,رد
2025-01-13,دوم,PE80,90,4,4030,505,30,LG Chem,186,195,176,194,97,73,16,21,40,187,حباب,رد
2025-01-14,دوم,PE100,32,6,1628,1662,30,Borealis,195,187,197,190,95,61,15,18,65,156,ترک,قبول
2025-01-15,اول,PE100,63,10,4447,1188,30,Borealis,164,175,166,190,107,56,6,26,49,24,توقف ناگهانی,قبول
2025-01-16,دوم,PE80,90,6,1483,1045,30,Sabic,176,180,177,185,92,73,7,28,69,279,ضخامت نامناسب,قبول
2025-01-17,دوم,PE100,63,4,4471,1110,10,Sabic,178,176,195,208,105,44,7,23,45,279,ضخامت نامناسب,رد
2025-01-18,دوم,PE80,110,2,4887,1743,20,Sabic,185,196,199,185,96,72,7,28,30,218,خاموش کردن,قبول
2025-01-19,سوم,PE100,110,6,1187,1917,10,LG Chem,164,163,191,190,85,48,18,20,60,128,ضخامت نامناسب,رد
2025-01-20,سوم,PE100,90,3,2416,1087,30,LG Chem,198,192,169,180,116,75,13,33,42,216,خاموش کردن,رد
2025-01-21,اول,PE100,32,2,4573,1764,0,LG Chem,177,188,182,202,103,26,19,18,48,74,توقف ناگهانی,قبول
2025-01-22,سوم,PE100,50,6,2073,915,30,Sabic,196,179,181,206,103,25,13,33,68,202,ترک,رد
2025-01-23,سوم,PE80,63,10,3228,647,0,Borealis,181,178,199,189,81,33,11,32,52,101,حباب,رد
2025-01-24,اول,PE80,20,2,1118,1379,0,Sabic,178,162,184,192,80,60,9,29,57,299,تغییر رنگ,قبول
2025-01-25,سوم,PE80,20,10,1062,1001,20,LG Chem,186,194,180,192,85,37,15,19,35,158,خاموش کردن,رد
2025-01-26,اول,PE80,20,10,3649,1155,10,Sabic,195,175,186,197,84,48,18,27,66,243,خاموش کردن,قبول
2025-01-27,اول,PE80,90,10,1345,721,10,Sabic,164,165,183,187,119,72,12,23,33,26,خاموش کردن,رد
2025-01-28,سوم,PE100,90,2,1949,1234,30,LG Chem,199,170,175,189,114,35,7,34,49,120,تغییر رنگ,رد
2025-01-29,سوم,PE80,50,10,2084,1639,10,Sabic,187,162,160,180,94,78,11,31,48,42,ضخامت نامناسب,رد
2025-01-30,دوم,PE80,63,6,4594,546,30,Sabic,187,176,193,183,85,29,11,17,58,146,توقف ناگهانی,رد
2025-01-31,اول,PE100,90,10,2930,1286,10,LG Chem,189,167,177,181,119,34,5,17,42,238,توقف ناگهانی,قبول
2025-02-01,سوم,PE100,110,4,4909,1834,10,Borealis,191,169,197,180,106,31,5,25,49,101,ضخامت نامناسب,رد
2025-02-02,سوم,PE100,32,10,3680,1014,10,Sabic,169,187,160,187,112,68,15,20,69,189,ترک,قبول
2025-02-03,اول,PE100,63,6,1625,1832,30,LG Chem,162,191,188,199,94,33,9,19,63,290,خاموش کردن,رد
2025-02-04,اول,PE100,20,3,3813,1452,30,LG Chem,169,181,178,203,89,35,10,33,43,261,حباب,قبول
2025-02-05,دوم,PE80,110,4,3601,1201,0,Borealis,177,174,175,182,99,53,14,33,45,196,تغییر رنگ,رد
2025-02-06,دوم,PE100,110,3,4491,896,0,LG Chem,190,195,162,186,114,75,11,18,69,168,ترک,رد
2025-02-07,دوم,PE80,110,2,2583,1061,20,Sabic,183,161,191,196,114,22,10,29,57,281,توقف ناگهانی,رد
2025-02-08,دوم,PE100,20,4,2048,1551,30,Borealis,191,180,187,203,89,45,12,21,55,280,ترک,رد
2025-02-09,دوم,PE80,50,2,3317,1082,30,Borealis,192,169,188,181,99,36,17,27,34,72,حباب,رد
2025-02-10,دوم,PE100,32,6,4593,1420,30,Sabic,160,196,186,196,117,44,13,32,32,195,حباب,رد
2025-02-11,سوم,PE100,32,2,1029,1674,20,LG Chem,172,164,172,187,82,67,16,31,69,288,ترک,رد
2025-02-12,سوم,PE80,63,10,2787,587,10,Borealis,172,186,172,180,110,32,5,26,36,257,تغییر رنگ,رد
2025-02-13,اول,PE80,110,10,3348,675,20,LG Chem,166,170,183,205,95,75,19,33,56,125,ترک,قبول
2025-02-14,اول,PE100,110,2,4889,1121,30,LG Chem,174,163,181,180,119,78,6,29,62,45,تغییر رنگ,رد
2025-02-15,اول,PE80,63,10,3849,1585,10,Borealis,194,176,169,197,107,39,12,22,34,97,ترک,رد
2025-02-16,سوم,PE100,50,6,3104,1131,0,Borealis,194,172,176,196,86,21,8,31,33,15,تغییر رنگ,قبول
2025-02-17,دوم,PE100,32,10,3707,941,30,Borealis,194,174,165,199,110,59,10,24,36,106,تغییر رنگ,رد
2025-02-18,سوم,PE100,50,3,4859,675,0,Sabic,166,163,195,181,84,42,13,34,66,140,ترک,قبول
2025-02-19,اول,PE80,63,3,1420,1007,10,Borealis,174,163,173,193,105,77,13,28,42,175,توقف ناگهانی,قبول
